Type,Variable,Description,Abbreviation,PolicyObjective,IssueCategory,Units,RawPolarity,RAW Processing Script,Data available?,Calculation required,RawFileExists,Normalization,Transformation,Alpha,Target_Good,Target_Bad,Materiality,Babs,Btrend,CurrentStartYr,CurrentEndYr,OldStartYr,OldEndYr,CountryCoverage,RawStartYr,RawEndYr,Index,SummaryPDF,Source,Notes
Indicator,Lead Exposure,"Lead Exposure: Age-standardized Disability-Adjusted Life Years lost, per 100k persons",PBD,Health,HeavyMetals,Age-standardized DALYs/100k people,negative,~EPI2018/Work/Source/IHME-DALY/DLY_raw.R,yes,none,yes,none,log,,1%,99%,,,,,,,,195,2000,2016,1,1,IHME-GBD,http://ghdx.healthdata.org/gbd-results-tool?params=gbd-api-2016-permalink/9a32377ea1d1a4014d63a1aed7c0a748
Indicator,PM2.5 exposure,Population-weighted exposure to PM2.5 [microg/m3],PME,Health,AirQuality,microg/m3,negative,~EPI2018/Work/Source/CIESIN-PM25/PME_raw.R,yes,none,yes,none,log,,10,99%,,,,,,,,228,2008,2015,1,1,CIESIN,
Indicator,PM2.5 exceedance,Exposure to levels of PM2.5 that exceed WHO limits,PMX,Health,AirQuality,%,negative,~EPI2018/Work/Source/CIESIN-PM25/PME_raw.R,yes,(PM1+PM2+PM3+PM4)/4,yes,none,none,,0,99%,,,,,,,,229,2008,2015,0,1,YCELP,
Indicator,Household air pollution from solid fuels,"Household Air Pollution: Age-standardized Disability-Adjusted Life Years lost, per 100k persons",HAD,Health,AirQuality,Age-standardized DALYs/100k people,negative,~EPI2018/Work/Source/IHME-DALY/DLY_raw.R,yes,none,yes,none,log,,5%,95%,,,,,,,,195,2000,2016,1,1,IHME-GBD,http://ghdx.healthdata.org/gbd-results-tool?params=gbd-api-2016-permalink/9a32377ea1d1a4014d63a1aed7c0a748
Indicator,Unsafe sanitation ,"Unsafe Sanitation: Age-standardized Disability-Adjusted Life Years lost, per 100k persons",USD,Health,WaterQuality,Age-standardized DALYs/100k people,negative,~EPI2018/Work/Source/IHME-DALY/DLY_raw.R,yes,none,yes,none,log,,5%,95%,,,,,,,,195,2000,2016,1,1,IHME-GBD,http://ghdx.healthdata.org/gbd-results-tool?params=gbd-api-2016-permalink/9a32377ea1d1a4014d63a1aed7c0a748
Indicator,Unsafe water exposure,"Unsafe Water: Age-standardized Disability-Adjusted Life Years lost, per 100k persons",UWD,Health,WaterQuality,Age-standardized DALYs/100k people,negative,~EPI2018/Work/Source/IHME-DALY/DLY_raw.R,yes,none,yes,none,log,,5%,95%,,,,,,,,195,2000,2016,1,1,IHME-GBD,http://ghdx.healthdata.org/gbd-results-tool?params=gbd-api-2016-permalink/9a32377ea1d1a4014d63a1aed7c0a748
Indicator,Wastewater treatment level,Wastewater treatment level weighted by connection to wastewater treatment rate,WWT,Ecosystem,WaterResources,%,positive,/,yes,none,yes,none,log,,100,0,,,,,,,,176,2016,2016,1,1,YCELP,
Indicator,Sustainable Nitrogen Management Index,Sustainable Nitrogen Management Index,SNM,Ecosystem,Agriculture,unitless,negative,~EPI2018/Work/Source/SNMI/SNM_raw.R,yes,none,yes,none,none,,0,99%,,,,,,,,147,2010,2010,1,1,Zhang et alia,
Indicator,Tree cover loss,Tree Cover Loss: Five-year moving-average of percent,TCL,Ecosystem,Forestry,%,negative,~EPI2018/Work/Source/GFW/TCL_raw.R,yes,5 year moving-average,yes,none,log,,0.004,95%,FOR,,,,,,,210,2001,2016,1,1,GFW,
Indicator,Fish Stock Status,Percent of fish stocks that are Collapsed or Over-exploited,FSS,Ecosystem,Fisheries,%,negative,~EPI2018/Work/Source/SAU/FSS_raw.R,yes,FSC+FSO,yes,none,none,,0,99%,SEA,,,,,,,133,1950,2014,1,1,YCELP,
Indicator,Benchmarked Marine Trophic Index,"Relative performance of MTI or RMTI, benchmarked against 10-year moving average, aggregated to country level",BMA,Ecosystem,Fisheries,unitless,positive,~EPI2018/Work/Source/SAU/BMA_raw.R,yes,complicated,yes,none,none,,95%,5%,SEA,,,,,,,82,1950,2014,0,0,SAU,
Indicator,Marine protection,Marine Protected Area: Percentage of EEZ,MPA,Ecosystem,Biodiversity,%,positive,~EPI2018/Work/Source/CIESIN-MPA/MPA_raw.R,yes,none,yes,none,log,1.22E-05,10,0,SEA,,,,,,,179,2000,2017,1,1,CIESIN,
Indicator,Terrestrial Biome Protection _ National weights,Terrestrial Biome Protection _ National weights,TBN,Ecosystem,Biodiversity,unitless,positive,~EPI2018/Work/Source/CIESIN-Biome/TPA_raw.R,yes,none,yes,none,none,,17,0,,,,,,,,233,1990,2017,1,1,CIESIN,
Indicator,Terrestrial Biome Protection _ Global weights,Terrestrial Biome Protection _ Global weights,TBG,Ecosystem,Biodiversity,unitless,positive,~EPI2018/Work/Source/CIESIN-Biome/TPA_raw.R,yes,none,yes,none,none,,17,0,,,,,,,,233,1990,2017,1,1,CIESIN,
Indicator,Protected Areas Representativeness Index,Protected Areas Representativeness Index,PAR,Ecosystem,Biodiversity,unitless,positive,~EPI2018/Work/Source/CSIRO/PAR_raw.R,yes,none,yes,none,none,,95%,5%,,,,,,,,230,1970,2016,1,1,CSIRO,
Indicator,Species Protection Index,Species Protection Index,SPI,Ecosystem,Biodiversity,%,positive,~EPI2018/Work/Source/MOL/SPI_raw.R,yes,none,yes,none,none,,17,0,,,,,,,,231,1990,2014,1,1,MOL,
Indicator,Species Habitat Index,Species Habitat Index,SHI,Ecosystem,Biodiversity,%,positive,~EPI2018/Work/Source/MOL/SHI_raw.R,yes,x100,yes,none,none,,100,1%,,,,,,,,185,2001,2014,1,1,MOL,
Indicator,"PM2.5 Exceedance, weighted","PM2.5 Exceedance, weighted",PMW,Health,AirQuality,%,negative,~EPI2018/Work/Source/CIESIN-PM25/PME_raw.R,yes,(.1*PM1+.2*PM2+.3*PM3+.4*PM4),yes,none,none,,0,99%,,,,,,,,229,2008,2015,1,1,CIESIN,
Indicator,Trend CO2 emissions from electricity & heat,Ten-year trend in total CO2 emissions from electricity and heat per kWh,TPI,Ecosystem,Climate,gCO2 / kWh / yr,negative,~EPI2018/Work/Source/IEA/CEH_raw.R,yes,"Regress CEH on time over 2005_2014, save slopes",yes,none,none,,5%,95%,,,,,,,,142,2005,2014,0,1,IEA,http://www.oecd-ilibrary.org/energy/data/iea-co2-emissions-from-fuel-combustion-statistics_co2-data-en
Indicator,Deviations from Typical trend in Carbon intensity,"Ten-year trend in CO2 Intensity, relative to peers",DCI,Ecosystem,Climate,unitless,negative,~EPI2018/Work/Source/CAIT/CAIT_IntTrdDev_raw.R,yes,Deviations,yes,none,none,,5%,95%,,,,,,,,,2005,2014,0,1,YCELP,
Indicator,Trend in Methane intensity,Ten-year trend in methane intensity,DMI,Ecosystem,Climate,unitless,negative,~EPI2018/Work/Source/CAIT/CAIT_IntTrdDev_raw.R,yes,Deviations,yes,none,none,,5%,95%,,,,,,,,,2005,2014,0,1,YCELP,
Indicator,Trend in N2O intensity,Ten-year trend in N2O intensity,DNI,Ecosystem,Climate,unitless,negative,~EPI2018/Work/Source/CAIT/CAIT_IntTrdDev_raw.R,yes,Deviations,yes,none,none,,5%,95%,,,,,,,,,2005,2014,0,1,YCELP,
Indicator,Deviations from Typical trend in SO2 intensity,"Ten-year trend in SO2 Intensity, relative to peers",DSI,Ecosystem,AirPollution,unitless,negative,~EPI2018/Work/Source/EDGAR/EDGAR_IntTrdDev_raw.R,yes,Deviations,yes,none,none,,5%,95%,,,,,,,,,2001,2010,0,1,YCELP,
Indicator,Deviations from Typical trend in NOX intensity,"Ten-year trend in NOx Intensity, relative to peers",DXI,Ecosystem,AirPollution,unitless,negative,~EPI2018/Work/Source/EDGAR/EDGAR_IntTrdDev_raw.R,yes,Deviations,yes,none,none,,5%,95%,,,,,,,,,2001,2010,0,1,YCELP,
Indicator,Deviations from Typical trend in BLC intensity,"Ten-year trend in Black Carbon Intensity, relative to peers",DBI,Ecosystem,AirPollution,unitless,negative,~EPI2018/Work/Source/EDGAR/EDGAR_IntTrdDev_raw.R,yes,Deviations,yes,none,none,,5%,95%,,,,,,,,,2001,2010,0,1,YCELP,
Indicator,Ambient particulate matter pollution,"Age-standardized Disability-Adjusted Life Years lost due to unsafe sanitation, per 100k persons",PMD,Health,AirQuality,Age-standardized DALYs/100k people,negative,~EPI2018/Work/Source/IHME-DALY/DLY_raw.R,yes,none,yes,none,log,,5%,95%,,,,,,,,195,2000,2016,0,0,IHME-GBD,http://ghdx.healthdata.org/gbd-results-tool?params=gbd-api-2016-permalink/9a32377ea1d1a4014d63a1aed7c0a748
Indicator,Safe Drinking Water,National Percentage of Total Improved Sources of Safe Drinking Water,JDW,Health,WaterQuality,%,positive,~EPI2018/Work/Source/JMP/JMP_raw.R,yes,none,yes,none,loginv,,100,1%,,,,,,,,212,1990,2015,0,0,JMP,https://www.wssinfo.org/data-estimates/tables/
Indicator,Sanitation Facilities,National Percentage of Total Improved Sanitation Facilities,JSF,Health,WaterQuality,%,positive,~EPI2018/Work/Source/JMP/JMP_raw.R,yes,none,yes,none,loginv,,100,1%,,,,,,,,211,1990,2015,0,0,JMP,https://www.wssinfo.org/data-estimates/tables/
Indicator,Marine Trophic Index Ratio,Marine Trophic Index Ratio,MTR,Ecosystem,Fisheries,unitless,positive,,yes,complicated,yes,none,none,,95%,5%,,,,,,,,133,1950,2014,1,1,SAU,
Indicator,Terrestrial Biome Protection - Uncapped,Terrestrial Biome Protection - Uncapped,TBU,Ecosystem,Biodiversity,%,positive,~EPI2018/Work/Source/CIESIN-Biome/TBU_raw.R,yes,divisions,yes,none,log,,99%,1%,,,,,,,,233,1990,2017,0,1,CIESIN,
Indicator,CO2 intensity,log(CDT/GDP),CDI,Ecosystem,Climate,MtCO2e/US$2011,negative,~EPI2018/Work/Source/CAIT/CAIT_IntTrdDev_raw.R,yes,log(CDT/GDP),yes,none,none,,5%,95%,,,,,,,,,1997,2014,0,1,YCELP,
Indicator,Methane intensity,log(CH4/GDP),CHI,Ecosystem,Climate,MtCO2e/US$2011,negative,~EPI2018/Work/Source/CAIT/CAIT_IntTrdDev_raw.R,yes,log(CH4/GDP),yes,none,none,,5%,95%,,,,,,,,,1997,2014,0,1,YCELP,
Indicator,N2O intensity,log(NOT/GDP),NOI,Ecosystem,Climate,MtCO2e/US$2011,negative,~EPI2018/Work/Source/CAIT/CAIT_IntTrdDev_raw.R,yes,log(NOT/GDP),yes,none,none,,5%,95%,,,,,,,,,1997,2014,0,1,YCELP,
Indicator,SO2 intensity,log(SO2/GDP),SDI,Ecosystem,Climate,MtCO2e/US$2011,negative,~EPI2018/Work/Source/EDGAR/EDGAR_IntTrdDev_raw.R,yes,log(SO2/GDP),yes,none,none,,5%,95%,,,,,,,,,1997,2010,0,1,YCELP,
Indicator,NOX intensity,log(NOX/GDP),NXI,Ecosystem,Climate,MtCO2e/US$2011,negative,~EPI2018/Work/Source/EDGAR/EDGAR_IntTrdDev_raw.R,yes,log(NOX/GDP),yes,none,none,,5%,95%,,,,,,,,,1997,2010,0,1,YCELP,
Indicator,BC intensity,log(BLC/GDP),BCI,Ecosystem,Climate,Gg/US$2011,negative,~EPI2018/Work/Source/EDGAR/EDGAR_IntTrdDev_raw.R,yes,log(BLC/GDP),yes,none,none,,5%,95%,,,,,,,,,1997,2010,0,1,YCELP,
Indicator,CO2 emissions from electricity & heat,log(total CO2 emissions from electricity and heat per kWh),CEH,Ecosystem,Climate,gCO2 / kWh,negative,~EPI2018/Work/Source/IEA/CEH_raw.R,yes,log(CEH),yes,none,none,,5%,95%,,,,,,,,143,2005,2014,0,1,IEA,http://www.oecd-ilibrary.org/energy/data/iea-co2-emissions-from-fuel-combustion-statistics_co2-data-en
Blend,Blend of absolute and trend in CO2 intensity,Blend of absolute and trend in CO2 intensity,DCT,Ecosystem,Climate,unitless,positive,~EPI2018/Work/Pscripts/P5_Indicator.R,no,p*CDI + (1-p)*DCI,yes,none,none,,,,,CDI,DCI,2005,2014,1997,2006,,,,1,1,YCELP,
Blend,Blend of absolute and trend in CH4 intensity,Blend of absolute and trend in CH4 intensity,DMT,Ecosystem,Climate,unitless,positive,~EPI2018/Work/Pscripts/P5_Indicator.R,no,p*CHI + (1-p)*DMI,yes,none,none,,,,,CHI,DMI,2005,2014,1997,2006,,,,1,1,YCELP,
Blend,Blend of absolute and trend in N2O intensity,Blend of absolute and trend in N2O intensity,DNT,Ecosystem,Climate,unitless,positive,~EPI2018/Work/Pscripts/P5_Indicator.R,no,p*NOI + (1-p)*DNI,yes,none,none,,,,,NOI,DNI,2005,2014,1997,2006,,,,1,1,YCELP,
Blend,Blend of absolute and trend in SO2 intensity,Blend of absolute and trend in SO2 intensity,DST,Ecosystem,Climate,unitless,positive,~EPI2018/Work/Pscripts/P5_Indicator.R,no,p*SDI + (1-p)*DSI,yes,none,none,,,,,SDI,DSI,2001,2010,1997,2006,,,,1,1,YCELP,
Blend,Blend of absolute and trend in NOx intensity,Blend of absolute and trend in NOx intensity,DXT,Ecosystem,Climate,unitless,positive,~EPI2018/Work/Pscripts/P5_Indicator.R,no,p*NXI + (1-p)*DXI,yes,none,none,,,,,NXI,DXI,2001,2010,1997,2006,,,,1,1,YCELP,
Blend,Blend of absolute and trend in Black Carbon intensity,Blend of absolute and trend in Black Carbon intensity,DBT,Ecosystem,Climate,unitless,positive,~EPI2018/Work/Pscripts/P5_Indicator.R,no,p*BCI + (1-p)*DBI,yes,none,none,,,,,BCI,DBI,2001,2010,1997,2006,,,,1,1,YCELP,
Blend,Blend of absolute and trend in CO2/kWh,Blend of absolute and trend in CO2/kWh,DPT,Ecosystem,Climate,unitless,positive,~EPI2018/Work/Pscripts/P5_Indicator.R,no,p*CEH + (1-p)*TPI,yes,none,none,,,,,CEH,TPI,2005,2014,2005,2014,,,,1,1,YCELP,
Auxiliary,Species Status Information Index,Species Status Information Index,SSI,Ecosystem,Biodiversity,?,positive,,yes,none,no,none,none,,95%,5%,,,,,,,,,,,0,0,MOL,
Auxiliary,F-Other gasses,Total F-Gas,FOG,Ecosystem,Climate,MtCO2e,negative,~EPI2018/Work/Source/CAIT/CAIT_raw.R,yes,none,yes,none,none,,,,,,,,,,,191,1990,2014,0,0,WRI-CAIT,
Auxiliary,GDP,GDP PPP in US$2011,GDP,,,US$2011,,~EPI2018/Work/Source/WorldBank/GDP_raw.R,yes,Hole-filling,yes,none,none,,,,,,,,,,,198,1997,2016,0,0,World Bank,
Auxiliary,Population,Population from GDP source file,POP,,,people,,~EPI2018/Work/Source/WorldBank/GDP_raw.R,yes,Hole-filling,yes,none,none,,,,,,,,,,,216,1997,2016,0,0,World Bank,
Auxiliary,GDP per capita,GDP / POP,GPC,,,$/person,,~EPI2018/Work/Source/WorldBank/GDP_raw.R,yes,GDP/POP,yes,none,none,,,,,,,,,,,198,1997,2016,0,0,YCELP,
Auxiliary,Logged GDP per capita,Log(GDP / POP),LGP,,,log($/person),,~EPI2018/Work/Source/WorldBank/GDP_raw.R,yes,Log(GDP/POP),yes,none,none,,,,,,,,,,,198,1997,2016,0,0,YCELP,
Legacy,Household air pollution from solid fuels,2014 Percent of households using solid fuels,L14.HAP,Health,AirQuality,%,negative,~EPI2018/Work/Lsource/Lsource_2014/L14Raw.R,yes,none,yes,none,,,0,100,,,,,,,,,,,0,0,,Old abbreviation: HAP
Legacy,PM2.5 exposure,2014 Population-weighted exposure to PM2.5,L14.PME,Health,AirQuality,%,negative,~EPI2018/Work/Lsource/Lsource_2014/L14Raw.R,yes,none,yes,none,,,0,99%,,,,,,,,,,,0,0,,Old abbreviation: PM25
Legacy,PM2.5 exceedance,2014 Exposure to levels of PM2.5 that exceed WHO limits,L14.PMX,Health,AirQuality,%,negative,~EPI2018/Work/Lsource/Lsource_2014/L14Raw.R,yes,none,yes,none,,,0,99%,,,,,,,,,,,0,0,,Old abbreviation: PM25EXBL
Legacy,Household air pollution from solid fuels,2016 Percent of households using solid fuels,L16.HAP,Health,AirQuality,%,negative,~EPI2018/Work/Lsource/Lsource_2016/L16Raw.R,yes,none,yes,none,,,0,100,,,,,,,,,,,0,0,,Old abbreviation: HAP
Legacy,PM2.5 exposure,2016 Population-weighted exposure to PM2.5,L16.PME,Health,AirQuality,microg/m3,negative,~EPI2018/Work/Lsource/Lsource_2016/L16Raw.R,yes,none,yes,none,,,0,99%,,,,,,,,,,,0,0,,Old abbreviation: PM25
Legacy,PM2.5 exceedance,2016 Exposure to levels of PM2.5 that exceed WHO limits,L16.PMX,Health,AirQuality,%,negative,~EPI2018/Work/Lsource/Lsource_2016/L16Raw.R,yes,none,yes,none,,,0,99%,,,,,,,,,,,0,0,,Old abbreviation: PM25EXBL
Legacy,Unsafe sanitation ,2016 Proportion of population exposed to risks due to unsafe sanitation,L16.USN,Health,WaterQuality,%,negative,~EPI2018/Work/Lsource/Lsource_2016/L16Raw.R,yes,none,yes,none,,,0,99%,,,,,,,,,,,0,0,,Old abbreviation: ACSATR
Legacy,Unsafe water exposure,2016 Proportion of population exposed to risks due to unsafe water source,L16.UWS,Health,WaterQuality,%,negative,~EPI2018/Work/Lsource/Lsource_2014/L14Raw.R,yes,none,yes,none,,,0,99%,,,,,,,,,,,0,0,,Old abbreviation: WATQ
Legacy,Unsafe sanitation,2014 Unsafe sanitation,L14.JSF,Health,WaterQuality,%,positive,,yes,none,yes,none,,,100,1%,,,,,,,,,,,0,0,,Old abbreviation: ACSAT
Legacy,Unsafe sanitation,2016 Unsafe sanitation,L16.JSF,Health,WaterQuality,%,positive,,yes,none,yes,none,,,100,1%,,,,,,,,,,,0,0,,Old abbreviation: ACSAT
